The sun is shining.	El sol esta brillando.
He is fixing the heater.	El esta arreglando la calefaccion.
The sky is turning orange.	El cielo se esta poniendo naranja.
I am learning to meditate.	Estoy aprendiendo a meditar.
She is painting her nails.	Ella esta pintandose las unas.
We are watching a documentary.	Estamos viendo un documental.
He is practicing his dance moves.	El esta practicando sus movimientos de baile.
The cat is sleeping peacefully.	El gato esta durmiendo pacificamente.
I am drinking a smoothie.	Estoy bebiendo un batido.
She is knitting a pair of mittens.	Ella esta tejiendo un par de mitones.
We are cooking together.	Estamos cocinando juntos.
He is cleaning his room.	El esta limpiando su habitacion.
The dog is chewing a toy.	El perro esta masticando un juguete.
I am writing a letter to a friend.	Estoy escribiendo una carta a un amigo.
She is organizing her photos.	Ella esta organizando sus fotos.
We are going to the museum.	Vamos al museo.
He is planting a tree.	El esta plantando un arbol.
The sun is setting slowly.	El sol se esta poniendo lentamente.
I am learning to paint landscapes.	Estoy aprendiendo a pintar paisajes.
She is brushing her cat.	Ella esta cepillando a su gato.
We are playing a board game.	Estamos jugando un juego de mesa.
He is practicing the violin.	El esta practicando el violin.
The water is flowing gently.	El agua esta fluyendo suavemente.
I am folding the laundry.	Estoy doblando la ropa.
She is studying for a quiz.	Ella esta estudiando para un examen.
We are decorating the tree.	Estamos decorando el arbol.
He is washing the dog.	El esta lavando al perro.
The cat is playing with a string.	El gato esta jugando con una cuerda.
I am writing a thank you note.	Estoy escribiendo una nota de agradecimiento.
She is making a cup of tea.	Ella esta haciendo una taza de te.
We are planning a movie night.	Estamos planeando una noche de peliculas.
He is reading a mystery novel.	El esta leyendo una novela de misterio.
The sky is filled with clouds.	El cielo esta lleno de nubes.
I am learning to cook new recipes.	Estoy aprendiendo a cocinar nuevas recetas.
She is painting a picture of a landscape.	Ella esta pintando un cuadro de un paisaje.
We are going to the countryside.	Vamos al campo.
He is fixing his bicycle tire.	El esta arreglando la llanta de su bicicleta.
The cat is watching the fish tank.	El gato esta mirando la pecera.
I am writing a list of things to do.	Estoy escribiendo una lista de cosas por hacer.
She is knitting a baby blanket.	Ella esta tejiendo una manta para bebe.
We are baking cookies for the neighbors.	Estamos horneando galletas para los vecinos.
He is cleaning the living room.	El esta limpiando la sala.
The dog is running in the yard.	El perro esta corriendo en el jardin.
I am feeding my pet rabbit.	Estoy alimentando a mi conejo.
She is organizing the kitchen drawers.	Ella esta organizando los cajones de la cocina.
We are going to the aquarium.	Vamos al acuario.
He is practicing for a concert.	El esta practicando para un concierto.
The sun is rising in the morning.	El sol esta saliendo en la manana.
I am learning to play drums.	Estoy aprendiendo a tocar la bateria.
She is brushing her long hair.	Ella esta cepillando su cabello largo.
We are playing a card game.	Estamos jugando un juego de cartas.
He is studying computer science.	El esta estudiando informatica.
The water is glistening in the sun.	El agua esta brillando al sol.
I am folding my clothes neatly.	Estoy doblando mi ropa ordenadamente.
She is studying for her exams.	Ella esta estudiando para sus examenes.
We are decorating for the holidays.	Estamos decorando para las fiestas.
He is washing the windows.	El esta lavando las ventanas.
The cat is playing with a feather toy.	El gato esta jugando con un juguete de plumas.
I am writing in my planner.	Estoy escribiendo en mi planificador.
She is making a fruit salad.	Ella esta haciendo una ensalada de frutas.
We are planning a weekend trip.	Estamos planeando un viaje de fin de semana.
He is reading a comic book.	El esta leyendo un comic.
The sky is turning pink and orange.	El cielo se esta poniendo rosa y naranja.
I am learning to bake bread.	Estoy aprendiendo a hornear pan.
She is brushing her teeth before bed.	Ella se esta cepillando los dientes antes de dormir.
We are having a video call with friends.	Estamos teniendo una videollamada con amigos.
He is practicing his soccer skills.	El esta practicando sus habilidades de futbol.
The cat is napping in the sunshine.	El gato esta durmiendo bajo el sol.
I am drinking a cup of hot chocolate.	Estoy bebiendo una taza de chocolate caliente.
She is knitting a pair of socks.	Ella esta tejiendo un par de calcetines.
We are making a big breakfast.	Estamos haciendo un gran desayuno.
He is cleaning the garden.	El esta limpiando el jardin.
The dog is playing in the snow.	El perro esta jugando en la nieve.
I am learning to make sushi.	Estoy aprendiendo a hacer sushi.
She is organizing her closet by color.	Ella esta organizando su armario por color.
We are going to the botanical garden.	Vamos al jardin botanico.
He is planting vegetables in the garden.	El esta plantando vegetales en el jardin.
The sun is setting behind the mountains.	El sol se esta poniendo detras de las montanas.
I am learning to play the saxophone.	Estoy aprendiendo a tocar el saxofon.
She is brushing her horse.	Ella esta cepillando su caballo.
We are playing a trivia game.	Estamos jugando un juego de trivia.
He is practicing his presentation.	El esta practicando su presentacion.
The water is rippling in the pond.	El agua esta ondulando en el estanque.
I am folding the bed sheets.	Estoy doblando las sabanas de la cama.
She is studying for her driver's test.	Ella esta estudiando para su examen de manejo.
We are decorating the living room.	Estamos decorando la sala.
He is washing the dishes after dinner.	El esta lavando los platos despues de la cena.
The cat is chasing its own tail.	El gato esta persiguiendo su propia cola.
I am writing a postcard to my friend.	Estoy escribiendo una postal a mi amigo.
She is making a delicious dinner.	Ella esta haciendo una cena deliciosa.
We are planning a surprise for Mom.	Estamos planeando una sorpresa para mama.
He is reading an interesting book.	El esta leyendo un libro interesante.
The sky is clear and full of stars.	El cielo esta despejado y lleno de estrellas.
I am learning to make pottery.	Estoy aprendiendo a hacer ceramica.
She is brushing her cat's fur.	Ella esta cepillando el pelaje de su gato.
We are going to the art museum.	Vamos al museo de arte.
He is planting herbs in the garden.	El esta plantando hierbas en el jardin.
The sun is shining brightly today.	El sol esta brillando intensamente hoy.
I am writing a letter to my grandmother.	Estoy escribiendo una carta a mi abuela.
She is knitting a new scarf.	Ella esta tejiendo una bufanda nueva.
We are making pancakes for breakfast.	Estamos haciendo panqueques para el desayuno.
He is cleaning the patio.	El esta limpiando el patio.
The dog is playing with a frisbee.	El perro esta jugando con un frisbee.
I am learning to cook Italian food.	Estoy aprendiendo a cocinar comida italiana.
She is organizing her makeup.	Ella esta organizando su maquillaje.
We are going to the music festival.	Vamos al festival de musica.
He is practicing his drawing skills.	El esta practicando sus habilidades de dibujo.
The water is sparkling in the sun.	El agua esta brillando al sol.
I am folding the napkins.	Estoy doblando las servilletas.
She is studying for her history exam.	Ella esta estudiando para su examen de historia.
We are decorating the kitchen.	Estamos decorando la cocina.
He is washing his sneakers.	El esta lavando sus zapatillas.
The cat is playing with a laser pointer.	El gato esta jugando con un puntero laser.
I am writing a thank you card.	Estoy escribiendo una tarjeta de agradecimiento.
She is making a birthday cake.	Ella esta haciendo un pastel de cumpleanos.
We are planning a dinner party.	Estamos planeando una cena.
He is reading a science fiction novel.	El esta leyendo una novela de ciencia ficcion.
The sky is turning dark.	El cielo se esta poniendo oscuro.
I am learning to ride a bicycle.	Estoy aprendiendo a andar en bicicleta.
She is brushing her dog's teeth.	Ella esta cepillando los dientes de su perro.
We are having a movie marathon.	Estamos teniendo un maraton de peliculas.
He is practicing his basketball skills.	El esta practicando sus habilidades de baloncesto.
The cat is sleeping on the windowsill.	El gato esta durmiendo en el alfeizar de la ventana.
I am drinking a glass of lemonade.	Estoy bebiendo un vaso de limonada.
She is knitting a pair of gloves.	Ella esta tejiendo un par de guantes.
We are making spaghetti for dinner.	Estamos haciendo espaguetis para la cena.
He is cleaning the birdcage.	El esta limpiando la jaula del pajaro.
The dog is playing with a tennis ball.	El perro esta jugando con una pelota de tenis.
I am learning to make a website.	Estoy aprendiendo a hacer una pagina web.
She is organizing her school supplies.	Ella esta organizando sus utiles escolares.
We are going to the amusement park.	Vamos al parque de diversiones.
He is practicing his writing skills.	El esta practicando sus habilidades de escritura.
The water is calm and peaceful.	El agua esta tranquila y pacifica.
I am folding the paper cranes.	Estoy doblando las grullas de papel.
She is studying for her math exam.	Ella esta estudiando para su examen de matematicas.
We are decorating the hallway.	Estamos decorando el pasillo.
He is washing his truck.	El esta lavando su camion.
The cat is purring loudly.	El gato esta ronroneando fuerte.
I am writing a speech.	Estoy escribiendo un discurso.
She is making a quilt.	Ella esta haciendo una colcha.
We are planning a camping trip.	Estamos planeando un viaje de campamento.
He is reading a fantasy novel.	El esta leyendo una novela de fantasia.
The sky is clear after the rain.	El cielo esta despejado despues de la lluvia.
I am learning to bake cookies.	Estoy aprendiendo a hornear galletas.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
We are playing a trivia game.	Estamos jugando un juego de trivia.
He is practicing his speech for the presentation.	El esta practicando su discurso para la presentacion.
The cat is playing with a ball of yarn.	El gato esta jugando con una bola de estambre.
I am drinking a cup of tea.	Estoy bebiendo una taza de te.
She is knitting a pair of leg warmers.	Ella esta tejiendo un par de calentadores de piernas.
We are making sandwiches for lunch.	Estamos haciendo sandwiches para el almuerzo.
He is cleaning the fish tank.	El esta limpiando la pecera.
The dog is running in circles.	El perro esta corriendo en circulos.
I am learning to play the ukulele.	Estoy aprendiendo a tocar el ukelele.
She is organizing her craft supplies.	Ella esta organizando sus materiales de manualidades.
We are going to the farmers market.	Vamos al mercado de agricultores.
He is practicing his skateboarding tricks.	El esta practicando sus trucos de monopatin.
The water is rippling gently.	El agua esta ondulando suavemente.
I am folding the laundry.	Estoy doblando la ropa.
She is studying for her physics test.	Ella esta estudiando para su examen de fisica.
We are decorating the classroom.	Estamos decorando el salon de clases.
He is washing his bike.	El esta lavando su bicicleta.
The cat is climbing the tree.	El gato esta trepando el arbol.
I am writing a poem about nature.	Estoy escribiendo un poema sobre la naturaleza.
She is making a painting of the sunset.	Ella esta haciendo una pintura del atardecer.
We are planning a garden.	Estamos planeando un jardin.
He is reading a book about history.	El esta leyendo un libro sobre historia.
The sky is blue with fluffy clouds.	El cielo esta azul con nubes esponjosas.
I am learning to play chess.	Estoy aprendiendo a jugar ajedrez.
She is brushing her hair before bed.	Ella esta cepillandose el cabello antes de dormir.
We are having a family game night.	Estamos teniendo una noche de juegos en familia.
He is practicing his photography skills.	El esta practicando sus habilidades de fotografia.
The cat is napping on the windowsill.	El gato esta durmiendo en el alfeizar de la ventana.
I am drinking a cup of herbal tea.	Estoy bebiendo una taza de te de hierbas.
She is knitting a baby hat.	Ella esta tejiendo un gorro para bebe.
We are making soup for dinner.	Estamos haciendo sopa para la cena.
He is cleaning the bird feeder.	El esta limpiando el comedero para pajaros.
The dog is playing in the backyard.	El perro esta jugando en el patio trasero.
I am learning to cook French cuisine.	Estoy aprendiendo a cocinar comida francesa.
She is organizing her photo albums.	Ella esta organizando sus albumes de fotos.
We are going to the beach this weekend.	Vamos a la playa este fin de semana.
He is practicing his drumming.	El esta practicando su bateria.
The water is crystal clear in the lake.	El agua esta cristalina en el lago.
I am folding the clothes.	Estoy doblando la ropa.
She is studying for her geography quiz.	Ella esta estudiando para su prueba de geografia.
We are decorating the garden with lights.	Estamos decorando el jardin con luces.
He is washing his hands before dinner.	El esta lavandose las manos antes de la cena.
The cat is playing with a toy mouse.	El gato esta jugando con un raton de juguete.
I am writing a story about a dragon.	Estoy escribiendo una historia sobre un dragon.
She is making a smoothie for breakfast.	Ella esta haciendo un batido para el desayuno.
We are planning a surprise birthday party.	Estamos planeando una fiesta de cumpleanos sorpresa.
He is reading a biography of a famous artist.	El esta leyendo una biografia de un artista famoso.
The sky is turning dark as the storm approaches.	El cielo se esta oscureciendo a medida que se acerca la tormenta.
I am learning to make homemade pasta.	Estoy aprendiendo a hacer pasta casera.
She is brushing her dog after a walk.	Ella esta cepillando a su perro despues de una caminata.
We are playing a game of charades.	Estamos jugando un juego de charadas.
He is practicing his public speaking.	El esta practicando su oratoria.
The cat is watching the birds outside.	El gato esta mirando a los pajaros afuera.
I am drinking a glass of iced tea.	Estoy bebiendo un vaso de te helado.
She is knitting a blanket for her friend.	Ella esta tejiendo una manta para su amiga.
We are making tacos for dinner.	Estamos haciendo tacos para la cena.
He is cleaning the patio furniture.	El esta limpiando los muebles del patio.
The dog is playing with a rubber ball.	El perro esta jugando con una pelota de goma.
I am learning to speak German.	Estoy aprendiendo a hablar aleman.
She is organizing her jewelry box.	Ella esta organizando su joyero.
We are going to the library to study.	Vamos a la biblioteca a estudiar.
He is practicing his guitar solos.	El esta practicando sus solos de guitarra.
The water is gently flowing in the river.	El agua esta fluyendo suavemente en el rio.
I am folding the laundry neatly.	Estoy doblando la ropa ordenadamente.
She is studying for her science fair project.	Ella esta estudiando para su proyecto de feria de ciencias.
We are decorating the backyard for a party.	Estamos decorando el patio trasero para una fiesta.
He is washing the car in the driveway.	El esta lavando el coche en el camino de entrada.
The cat is chasing a laser beam.	El gato esta persiguiendo un rayo laser.
I am writing a poem about the ocean.	Estoy escribiendo un poema sobre el oceano.
She is making a sandwich for lunch.	Ella esta haciendo un sandwich para el almuerzo.
We are planning a weekend getaway.	Estamos planeando una escapada de fin de semana.
He is reading a mystery thriller novel.	El esta leyendo una novela de suspense y misterio.
The sky is turning orange and purple.	El cielo se esta poniendo naranja y purpura.
I am learning to play the flute.	Estoy aprendiendo a tocar la flauta.
She is brushing her hair before school.	Ella esta cepillandose el cabello antes de ir a la escuela.
We are having a family game night.	Estamos teniendo una noche de juegos en familia.
He is practicing his soccer skills.	El esta practicando sus habilidades de futbol.
The cat is napping in the sunbeam.	El gato esta durmiendo en el rayo de sol.
I am drinking a glass of milk.	Estoy bebiendo un vaso de leche.
She is knitting a pair of mittens.	Ella esta tejiendo un par de mitones.
We are making a pie for dessert.	Estamos haciendo un pastel para el postre.
He is cleaning the garage.	El esta limpiando el garaje.
The dog is playing with a chew toy.	El perro esta jugando con un juguete para masticar.
I am learning to cook Thai food.	Estoy aprendiendo a cocinar comida tailandesa.
She is organizing her desk.	Ella esta organizando su escritorio.
We are going to the concert tonight.	Vamos al concierto esta noche.
He is practicing his writing.	El esta practicando su escritura.
The water is splashing in the fountain.	El agua esta salpicando en la fuente.
I am folding the laundry after washing.	Estoy doblando la ropa despues de lavar.
She is studying for her spelling test.	Ella esta estudiando para su prueba de ortografia.
We are decorating the cake with icing.	Estamos decorando el pastel con glaseado.
He is washing his face before bed.	El esta lavandose la cara antes de dormir.
The cat is playing with a ribbon.	El gato esta jugando con una cinta.
I am writing a letter to my pen pal.	Estoy escribiendo una carta a mi amigo por correspondencia.
She is making a smoothie for breakfast.	Ella esta haciendo un batido para el desayuno.
We are planning a trip to the mountains.	Estamos planeando un viaje a las montanas.
He is reading a biography of a scientist.	El esta leyendo una biografia de un cientifico.
The sky is turning dark as the sun sets.	El cielo se esta oscureciendo mientras el sol se pone.
I am learning to bake cookies.	Estoy aprendiendo a hornear galletas.
She is brushing her dog's fur after a walk.	Ella esta cepillando el pelaje de su perro despues de una caminata.
We are playing a game of Monopoly.	Estamos jugando un juego de Monopoly.
He is practicing his public speaking skills.	El esta practicando sus habilidades de oratoria.
The cat is watching the fish swim in the tank.	El gato esta observando a los peces nadar en la pecera.
I am drinking a cup of coffee in the morning.	Estoy bebiendo una taza de cafe por la manana.
She is knitting a sweater for the winter.	Ella esta tejiendo un sueter para el invierno.
We are making pizza for dinner tonight.	Estamos haciendo pizza para la cena esta noche.
He is cleaning the windows in the living room.	El esta limpiando las ventanas de la sala.
The dog is running around in the park.	El perro esta corriendo en el parque.
I am learning to speak Japanese.	Estoy aprendiendo a hablar japones.
She is organizing her art supplies.	Ella esta organizando sus materiales de arte.
We are going to the zoo this weekend.	Vamos al zoologico este fin de semana.
He is practicing his violin for the concert.	El esta practicando su violin para el concierto.
The water is flowing peacefully in the stream.	El agua esta fluyendo pacificamente en el arroyo.
I am folding the laundry and putting it away.	Estoy doblando la ropa y guardandola.
She is studying for her English exam.	Ella esta estudiando para su examen de ingles.
We are decorating the living room for the holidays.	Estamos decorando la sala para las fiestas.
He is washing his clothes at the laundromat.	El esta lavando su ropa en la lavanderia.
The cat is playing with a toy mouse.	El gato esta jugando con un raton de juguete.
I am writing a poem about the stars.	Estoy escribiendo un poema sobre las estrellas.
She is making a cake for her birthday.	Ella esta haciendo un pastel para su cumpleanos.
We are planning a surprise party for our friend.	Estamos planeando una fiesta sorpresa para nuestro amigo.
He is reading a science fiction novel.	El esta leyendo una novela de ciencia ficcion.
The sky is clear and the stars are shining.	El cielo esta despejado y las estrellas estan brillando.
I am learning to bake a cake from scratch.	Estoy aprendiendo a hornear un pastel desde cero.
She is brushing her teeth before going to bed.	Ella esta cepillandose los dientes antes de ir a dormir.
We are having a family movie night.	Estamos teniendo una noche de peliculas en familia.
He is practicing his guitar for the performance.	El esta practicando su guitarra para la actuacion.
The cat is napping on the windowsill.	El gato esta durmiendo en el alfeizar de la ventana.
I am drinking a glass of orange juice.	Estoy bebiendo un vaso de jugo de naranja.
She is knitting a blanket for her baby.	Ella esta tejiendo una manta para su bebe.
We are making tacos for dinner.	Estamos haciendo tacos para la cena.
He is cleaning the backyard.	El esta limpiando el patio trasero.
The dog is playing with a frisbee in the park.	El perro esta jugando con un frisbee en el parque.
I am learning to cook Indian food.	Estoy aprendiendo a cocinar comida india.
She is organizing her closet.	Ella esta organizando su armario.
We are going to the movies tonight.	Vamos al cine esta noche.
He is practicing his drawing skills.	El esta practicando sus habilidades de dibujo.
The water is splashing in the pool.	El agua esta salpicando en la piscina.
I am folding the towels after washing.	Estoy doblando las toallas despues de lavar.
She is studying for her history test.	Ella esta estudiando para su examen de historia.
We are decorating the patio with lights.	Estamos decorando el patio con luces.
He is washing his car in the driveway.	El esta lavando su coche en la entrada.
The cat is playing with a piece of string.	El gato esta jugando con un pedazo de cuerda.
I am writing a story for my class.	Estoy escribiendo una historia para mi clase.
She is making a salad for lunch.	Ella esta haciendo una ensalada para el almuerzo.
We are planning a trip to the beach.	Estamos planeando un viaje a la playa.
He is reading a book about space.	El esta leyendo un libro sobre el espacio.
The sky is turning dark as the sun sets.	El cielo se esta oscureciendo mientras el sol se pone.
I am learning to bake muffins.	Estoy aprendiendo a hornear magdalenas.
She is brushing her dog's fur.	Ella esta cepillando el pelaje de su perro.
We are playing a game of checkers.	Estamos jugando un juego de damas.
He is practicing his lines for the play.	El esta practicando sus lineas para la obra.
The cat is watching the birds from the window.	El gato esta observando a los pajaros desde la ventana.
I am drinking a glass of water.	Estoy bebiendo un vaso de agua.
She is knitting a hat for her friend.	Ella esta tejiendo un gorro para su amiga.
We are making spaghetti for dinner.	Estamos haciendo espaguetis para la cena.
He is cleaning the basement.	El esta limpiando el sotano.
The dog is playing with a ball.	El perro esta jugando con una pelota.
I am learning to speak French.	Estoy aprendiendo a hablar frances.
She is organizing her makeup collection.	Ella esta organizando su coleccion de maquillaje.
We are going to the park for a picnic.	Vamos al parque para un picnic.
He is practicing his skateboarding tricks.	El esta practicando sus trucos de monopatin.
The water is flowing gently in the river.	El agua esta fluyendo suavemente en el rio.
I am folding the clothes and putting them away.	Estoy doblando la ropa y guardandola.
She is studying for her chemistry exam.	Ella esta estudiando para su examen de quimica.
We are decorating the Christmas tree.	Estamos decorando el arbol de Navidad.
He is washing the dishes after dinner.	El esta lavando los platos despues de la cena.
The cat is playing with a feather toy.	El gato esta jugando con un juguete de plumas.
I am writing a letter to my friend.	Estoy escribiendo una carta a mi amigo.
She is making a smoothie for breakfast.	Ella esta haciendo un batido para el desayuno.
We are planning a trip to the mountains.	Estamos planeando un viaje a las montanas.
He is reading a biography of a famous author.	El esta leyendo una biografia de un autor famoso.
The sky is clear and the sun is shining.	El cielo esta despejado y el sol esta brillando.
I am learning to bake bread from scratch.	Estoy aprendiendo a hornear pan desde cero.
She is brushing her hair before going to school.	Ella esta cepillandose el cabello antes de ir a la escuela.
We are having a game night with friends.	Estamos teniendo una noche de juegos con amigos.
He is practicing his drumming skills.	El esta practicando sus habilidades de bateria.
The cat is napping on the sofa.	El gato esta durmiendo en el sofa.
I am drinking a cup of coffee in the morning.	Estoy bebiendo una taza de cafe por la manana.
She is knitting a scarf for her friend.	Ella esta tejiendo una bufanda para su amiga.
We are making breakfast together.	Estamos haciendo el desayuno juntos.
He is cleaning the living room.	El esta limpiando la sala.
The dog is playing with a stick.	El perro esta jugando con un palo.
I am learning to cook Mexican food.	Estoy aprendiendo a cocinar comida mexicana.
She is organizing her jewelry.	Ella esta organizando sus joyas.
We are going to the theater to see a play.	Vamos al teatro a ver una obra.
He is practicing his dance moves.	El esta practicando sus movimientos de baile.
The water is calm and clear.	El agua esta tranquila y clara.
I am folding the laundry and putting it away.	Estoy doblando la ropa y guardandola.
She is studying for her biology test.	Ella esta estudiando para su examen de biologia.
We are decorating the house for Halloween.	Estamos decorando la casa para Halloween.
He is washing his hands before dinner.	El esta lavandose las manos antes de la cena.
The cat is playing with a toy mouse.	El gato esta jugando con un raton de juguete.
I am writing a poem about the sunset.	Estoy escribiendo un poema sobre el atardecer.
She is making a cake for her mom's birthday.	Ella esta haciendo un pastel para el cumpleanos de su mama.
We are planning a surprise party for our friend.	Estamos planeando una fiesta sorpresa para nuestro amigo.
He is reading a novel by his favorite author.	El esta leyendo una novela de su autor favorito.
The sky is turning pink as the sun rises.	El cielo se esta poniendo rosa mientras sale el sol.
I am learning to bake cupcakes.	Estoy aprendiendo a hornear cupcakes.
She is brushing her dog's fur after a walk.	Ella esta cepillando el pelaje de su perro despues de una caminata.
We are playing a game of Scrabble.	Estamos jugando un juego de Scrabble.
He is practicing his speech for the presentation.	El esta practicando su discurso para la presentacion.
The cat is watching the fish swim in the tank.	El gato esta mirando a los peces nadar en la pecera.
I am drinking a glass of lemonade.	Estoy bebiendo un vaso de limonada.
She is knitting a baby blanket for her friend.	Ella esta tejiendo una manta para bebe para su amiga.
We are making cookies for dessert.	Estamos haciendo galletas para el postre.
He is cleaning the windows in the living room.	El esta limpiando las ventanas de la sala.
The dog is running around in the backyard.	El perro esta corriendo en el patio trasero.
I am learning to speak Spanish.	Estoy aprendiendo a hablar espanol.
She is organizing her art supplies.	Ella esta organizando sus materiales de arte.
We are going to the zoo this weekend.	Vamos al zoologico este fin de semana.
He is practicing his violin for the concert.	El esta practicando su violin para el concierto.
The water is flowing peacefully in the stream.	El agua esta fluyendo pacificamente en el arroyo.
I am folding the laundry and putting it away.	Estoy doblando la ropa y guardandola.
She is studying for her English exam.	Ella esta estudiando para su examen de ingles.
We are decorating the living room for the holidays.	Estamos decorando la sala para las fiestas.
He is washing his clothes at the laundromat.	El esta lavando su ropa en la lavanderia.
The cat is playing with a toy mouse.	El gato esta jugando con un raton de juguete.
I am writing a poem about the stars.	Estoy escribiendo un poema sobre las estrellas.
She is making a cake for her birthday.	Ella esta haciendo un pastel para su cumpleanos.
We are planning a surprise party for our friend.	Estamos planeando una fiesta sorpresa para nuestro amigo.
He is reading a science fiction novel.	El esta leyendo una novela de ciencia ficcion.
The sky is clear and the stars are shining.	El cielo esta despejado y las estrellas estan brillando.
I am learning to bake a cake from scratch.	Estoy aprendiendo a hornear un pastel desde cero.
She is brushing her teeth before going to bed.	Ella esta cepillandose los dientes antes de ir a dormir.
We are having a family movie night.	Estamos teniendo una noche de peliculas en familia.
He is practicing his guitar for the performance.	El esta practicando su guitarra para la actuacion.
The cat is napping on the windowsill.	El gato esta durmiendo en el alfeizar de la ventana.
I am drinking a glass of orange juice.	Estoy bebiendo un vaso de jugo de naranja.
She is knitting a blanket for her baby.	Ella esta tejiendo una manta para su bebe.
We are making tacos for dinner.	Estamos haciendo tacos para la cena.
I like animals.	Me gustan los animales.
I enjoy walking in the morning.	Disfruto caminar en la manana.
She loves playing the piano.	Ella ama tocar el piano.
We are visiting our friends.	Estamos visitando a nuestros amigos.
He likes to watch movies.	A el le gusta ver peliculas.
The book is on the table.	El libro esta sobre la mesa.
It is very hot today.	Hoy hace mucho calor.
I have a cat and a dog.	Tengo un gato y un perro.
You are an excellent cook.	Eres un cocinero excelente.
The sunset is beautiful.	El atardecer es hermoso.
We will go hiking tomorrow.	Iremos de excursion manana.
She is very good at math.	Ella es muy buena en matematicas.
He enjoys listening to music.	El disfruta escuchar musica.
The flowers are blooming.	Las flores estan floreciendo.
I need to finish my homework.	Necesito terminar mi tarea.
They are playing in the garden.	Estan jugando en el jardin.
The train leaves at 6 PM.	El tren sale a las 6 PM.
We are planning a trip to Italy.	Estamos planeando un viaje a Italia.
She has a beautiful voice.	Ella tiene una voz hermosa.
He is working on his project.	El esta trabajando en su proyecto.
The cake is delicious.	El pastel es delicioso.
I am reading a new book.	Estoy leyendo un libro nuevo.
We need to clean the house.	Necesitamos limpiar la casa.
She is painting a picture.	Ella esta pintando un cuadro.
He is very talented.	El es muy talentoso.
The car is in the garage.	El coche esta en el garaje.
I like to swim in the pool.	Me gusta nadar en la piscina.
You are my best friend.	Eres mi mejor amigo.
The coffee is too strong.	El cafe esta demasiado fuerte.
We are having a barbecue.	Estamos haciendo una barbacoa.
She is studying for her exams.	Ella esta estudiando para sus examenes.
He is preparing lunch.	El esta preparando el almuerzo.
The weather is perfect.	El clima es perfecto.
I am learning to play the guitar.	Estoy aprendiendo a tocar la guitarra.
We are going to the movies.	Vamos al cine.
She is wearing a beautiful dress.	Ella esta usando un vestido hermoso.
He is jogging in the park.	El esta corriendo en el parque.
The dog is very playful.	El perro es muy jugueton.
I need more practice.	Necesito mas practica.
You are very thoughtful.	Eres muy considerado.
The restaurant is very busy.	El restaurante esta muy ocupado.
We are baking cookies.	Estamos horneando galletas.
She is knitting a sweater.	Ella esta tejiendo un sueter.
He is learning to speak French.	El esta aprendiendo a hablar frances.
The view from here is amazing.	La vista desde aqui es increible.
I am writing a letter.	Estoy escribiendo una carta.
We need to buy more groceries.	Necesitamos comprar mas comestibles.
She is cleaning the house.	Ella esta limpiando la casa.
He is reading the news.	El esta leyendo las noticias.
The cake is in the oven.	El pastel esta en el horno.
I have an important meeting.	Tengo una reunion importante.
You are a great artist.	Eres un gran artista.
The baby is sleeping.	El bebe esta durmiendo.
We are watching TV.	Estamos viendo television.
She is making dinner.	Ella esta haciendo la cena.
He is doing his homework.	El esta haciendo su tarea.
The cat is very cute.	El gato es muy lindo.
I need to go to the store.	Necesito ir a la tienda.
You are very kind.	Eres muy amable.
The sky is clear today.	El cielo esta despejado hoy.
We are playing a board game.	Estamos jugando un juego de mesa.
She is singing a song.	Ella esta cantando una cancion.
He is fixing the computer.	El esta arreglando la computadora.
The grass is green.	La hierba es verde.
I am learning to sew.	Estoy aprendiendo a coser.
You are very helpful.	Eres muy servicial.
The beach is crowded.	La playa esta llena de gente.
We are having lunch.	Estamos almorzando.
She is taking a nap.	Ella esta tomando una siesta.
He is building a model.	El esta construyendo un modelo.
The soup is cold.	La sopa esta fria.
I need a new book.	Necesito un libro nuevo.
You are very intelligent.	Eres muy inteligente.
The store is open.	La tienda esta abierta.
We are cooking breakfast.	Estamos cocinando el desayuno.
She is writing a story.	Ella esta escribiendo una historia.
He is practicing the piano.	El esta practicando el piano.
The water is warm.	El agua esta tibia.
I am feeling great.	Me siento genial.
You are very creative.	Eres muy creativo.
The food is spicy.	La comida esta picante.
We are enjoying the party.	Estamos disfrutando de la fiesta.
She is watching a movie.	Ella esta viendo una pelicula.
He is painting the fence.	El esta pintando la cerca.
The dog is barking.	El perro esta ladrando.
I am hungry.	Tengo hambre.
You are very funny.	Eres muy divertido.
The lights are bright.	Las luces son brillantes.
We are decorating the tree.	Estamos decorando el arbol.
She is feeding the baby.	Ella esta alimentando al bebe.
He is studying hard.	El esta estudiando mucho.
The flowers are red.	Las flores son rojas.
I am feeling sleepy.	Me siento con sueno.
You are very brave.	Eres muy valiente.
The cake is too sweet.	El pastel esta demasiado dulce.
We are having fun.	Nos estamos divirtiendo.
She is playing the violin.	Ella esta tocando el violin.
He is swimming in the lake.	El esta nadando en el lago.
The sun is shining.	El sol esta brillando.
I am tired.	Estoy cansado.
You are very generous.	Eres muy generoso.
The rain is heavy.	La lluvia es fuerte.
We are studying together.	Estamos estudiando juntos.
She is cooking pasta.	Ella esta cocinando pasta.
He is reading a book.	El esta leyendo un libro.
The car is dirty.	El coche esta sucio.
I am thirsty.	Tengo sed.
You are very calm.	Eres muy tranquilo.
