yo estoy feliz	i am happy
ella ve el libro porque es interesante	she sees the book because it is interesting
ella ve la puerta porque esta abierta	she sees the door because it is open
ella ve la ventana porque esta rota	she sees the window because it is broken
yo tengo un gato porque me gustan los animales	i have a cat because i like animals
yo tengo un perro porque me gustan los animales	i have a dog because i like animals
yo tengo un coche porque lo necesito	i have a car because i need it
yo tengo una casa porque la quiero	i have a house because i want it
yo tengo un libro porque me gusta leer	i have a book because i like reading
yo tengo un telefono porque lo necesito	i have a phone because i need it
yo tengo un ordenador porque trabajo	i have a computer because i work
yo tengo un amigo porque confio en el	i have a friend because i trust him
yo tengo un trabajo porque necesito dinero	i have a job because i need money
yo tengo un problema porque es dificil	i have a problem because it is difficult
tu tienes un gato porque te gustan los animales	you have a cat because you like animals
tu tienes un perro porque te gustan los animales	you have a dog because you like animals
tu tienes un coche porque lo necesitas	you have a car because you need it
tu tienes una casa porque la quieres	you have a house because you want it
tu tienes un libro porque te gusta leer	you have a book because you like reading
tu tienes un telefono porque lo necesitas	you have a phone because you need it
tu tienes un ordenador porque trabajas	you have a computer because you work
tu tienes un amigo porque confias en el	you have a friend because you trust him
tu tienes un trabajo porque necesitas dinero	you have a job because you need money
tu tienes un problema porque es dificil	you have a problem because it is difficult
el tiene un gato porque le gustan los animales	he has a cat because he likes animals
el tiene un perro porque le gustan los animales	he has a dog because he likes animals
el tiene un coche porque lo necesita	he has a car because he needs it
el tiene una casa porque la quiere	he has a house because he wants it
el tiene un libro porque le gusta leer	he has a book because he likes reading
el tiene un telefono porque lo necesita	he has a phone because he needs it
el tiene un ordenador porque trabaja	he has a computer because he works
el tiene un amigo porque confia en el	he has a friend because he trusts him
el tiene un trabajo porque necesita dinero	he has a job because he needs money
el tiene un problema porque es dificil	he has a problem because it is difficult
ella tiene un gato porque le gustan los animales	she has a cat because she likes animals
ella tiene un perro porque le gustan los animales	she has a dog because she likes animals
ella tiene un coche porque lo necesita	she has a car because she needs it
ella tiene una casa porque la quiere	she has a house because she wants it
ella tiene un libro porque le gusta leer	she has a book because she likes reading
ella tiene un telefono porque lo necesita	she has a phone because she needs it
ella tiene un ordenador porque trabaja	she has a computer because she works
ella tiene un amigo porque confia en el	she has a friend because she trusts him
ella tiene un trabajo porque necesita dinero	she has a job because she needs money
ella tiene un problema porque es dificil	she has a problem because it is difficult
si veo el gato me gusta	if i see the cat i like it
si veo el perro me gusta	if i see the dog i like it
si veo el pajaro me gusta	if i see the bird i like it
si veo el coche lo uso	if i see the car i use it
si veo la casa me gusta	if i see the house i like it
si veo el arbol lo subo	if i see the tree i climb it
si veo la carretera la sigo	if i see the road i follow it
si veo el libro lo leo	if i see the book i read it
si veo la puerta la abro	if i see the door i open it
si veo la ventana la cierro	if i see the window i close it
si ves el gato te gusta	if you see the cat you like it
si ves el perro te gusta	if you see the dog you like it
si ves el pajaro te gusta	if you see the bird you like it
si ves el coche lo usas	if you see the car you use it
si ves la casa te gusta	if you see the house you like it
si ves el arbol lo subes	if you see the tree you climb it
si ves la carretera la sigues	if you see the road you follow it
si ves el libro lo lees	if you see the book you read it
si ves la puerta la abres	if you see the door you open it
si ves la ventana la cierras	if you see the window you close it
si el ve el gato le gusta	if he sees the cat he likes it
si el ve el perro le gusta	if he sees the dog he likes it
si el ve el pajaro le gusta	if he sees the bird he likes it
si el ve el coche lo usa	if he sees the car he uses it
si el ve la casa le gusta	if he sees the house he likes it
si el ve el arbol lo sube	if he sees the tree he climbs it
si el ve la carretera la sigue	if he sees the road he follows it
si el ve el libro lo lee	if he sees the book he reads it
si el ve la puerta la abre	if he sees the door he opens it
si el ve la ventana la cierra	if he sees the window he closes it
si ella ve el gato le gusta	if she sees the cat she likes it
si ella ve el perro le gusta	if she sees the dog she likes it
si ella ve el pajaro le gusta	if she sees the bird she likes it
si ella ve el coche lo usa	if she sees the car she uses it
si ella ve la casa le gusta	if she sees the house she likes it
si ella ve el arbol lo sube	if she sees the tree she climbs it
si ella ve la carretera la sigue	if she sees the road she follows it
si ella ve el libro lo lee	if she sees the book she reads it
si ella ve la puerta la abre	if she sees the door she opens it
si ella ve la ventana la cierra	if she sees the window she closes it
si tengo un gato estoy feliz	if i have a cat i am happy
si tengo un perro estoy feliz	if i have a dog i am happy
si tengo un coche estoy listo	if i have a car i am ready
si tengo una casa estoy seguro	if i have a house i am safe
si tengo un libro estoy tranquilo	if i have a book i am calm
si tengo un telefono estoy conectado	if i have a phone i am connected
si tengo un ordenador trabajo	if i have a computer i work
si tengo un amigo estoy feliz	if i have a friend i am happy
si tengo un trabajo gano dinero	if i have a job i earn money
si tengo un problema lo resuelvo	if i have a problem i solve it
si tienes un gato estas feliz	if you have a cat you are happy
si tienes un perro estas feliz	if you have a dog you are happy
si tienes un coche estas listo	if you have a car you are ready
si tienes una casa estas seguro	if you have a house you are safe
si tienes un libro estas tranquilo	if you have a book you are calm
si tienes un telefono estas conectado	if you have a phone you are connected
si tienes un ordenador trabajas	if you have a computer you work
si tienes un amigo estas feliz	if you have a friend you are happy
si tienes un trabajo ganas dinero	if you have a job you earn money
si tienes un problema lo resuelves	if you have a problem you solve it
si el tiene un gato esta feliz	if he has a cat he is happy
si el tiene un perro esta feliz	if he has a dog he is happy
si el tiene un coche esta listo	if he has a car he is ready
si el tiene una casa esta seguro	if he has a house he is safe
si el tiene un libro esta tranquilo	if he has a book he is calm
si el tiene un telefono esta conectado	if he has a phone he is connected
si el tiene un ordenador trabaja	if he has a computer he works
si el tiene un amigo esta feliz	if he has a friend he is happy
si el tiene un trabajo gana dinero	if he has a job he earns money
si el tiene un problema lo resuelve	if he has a problem he solves it
si ella tiene un gato esta feliz	if she has a cat she is happy
si ella tiene un perro esta feliz	if she has a dog she is happy
si ella tiene un coche esta lista	if she has a car she is ready
si ella tiene una casa esta segura	if she has a house she is safe
si ella tiene un libro esta tranquila	if she has a book she is calm
si ella tiene un telefono esta conectada	if she has a phone she is connected
si ella tiene un ordenador trabaja	if she has a computer she works
si ella tiene un amigo esta feliz	if she has a friend she is happy
si ella tiene un trabajo gana dinero	if she has a job she earns money
si ella tiene un problema lo resuelve	if she has a problem she solves it
yo veo el gato y tengo un perro	i see the cat and i have a dog
yo veo el perro y tengo un gato	i see the dog and i have a cat
yo veo el pajaro y tengo un perro	i see the bird and i have a dog
yo veo el coche y tengo una casa	i see the car and i have a house
yo veo la casa y tengo un coche	i see the house and i have a car
yo veo el arbol y tengo un libro	i see the tree and i have a book
yo veo la carretera y tengo un coche	i see the road and i have a car
yo veo el libro y tengo un amigo	i see the book and i have a friend
yo veo la puerta y tengo una llave	i see the door and i have a key
yo veo la ventana y tengo una casa	i see the window and i have a house
tu ves el gato y tienes un perro	you see the cat and you have a dog
tu ves el perro y tienes un gato	you see the dog and you have a cat
tu ves el pajaro y tienes un perro	you see the bird and you have a dog
tu ves el coche y tienes una casa	you see the car and you have a house
tu ves la casa y tienes un coche	you see the house and you have a car
tu ves el arbol y tienes un libro	you see the tree and you have a book
tu ves la carretera y tienes un coche	you see the road and you have a car
tu ves el libro y tienes un amigo	you see the book and you have a friend
tu ves la puerta y tienes una llave	you see the door and you have a key
tu ves la ventana y tienes una casa	you see the window and you have a house
el ve el gato y tiene un perro	he sees the cat and he has a dog
el ve el perro y tiene un gato	he sees the dog and he has a cat
el ve el pajaro y tiene un perro	he sees the bird and he has a dog
el ve el coche y tiene una casa	he sees the car and he has a house
el ve la casa y tiene un coche	he sees the house and he has a car
el ve el arbol y tiene un libro	he sees the tree and he has a book
el ve la carretera y tiene un coche	he sees the road and he has a car
el ve el libro y tiene un amigo	he sees the book and he has a friend
el ve la puerta y tiene una llave	he sees the door and he has a key
el ve la ventana y tiene una casa	he sees the window and he has a house
ella ve el gato y tiene un perro	she sees the cat and she has a dog
ella ve el perro y tiene un gato	she sees the dog and she has a cat
ella ve el pajaro y tiene un perro	she sees the bird and she has a dog
ella ve el coche y tiene una casa	she sees the car and she has a house
ella ve la casa y tiene un coche	she sees the house and she has a car
ella ve el arbol y tiene un libro	she sees the tree and she has a book
ella ve la carretera y tiene un coche	she sees the road and she has a car
ella ve el libro y tiene un amigo	she sees the book and she has a friend
ella ve la puerta y tiene una llave	she sees the door and she has a key
ella ve la ventana y tiene una casa	she sees the window and she has a house
yo vere el gato y me gustara	i will see the cat and i will like it
yo vere el perro y me gustara	i will see the dog and i will like it
yo vere el coche y lo usare	i will see the car and i will use it
yo vere la casa y la comprare	i will see the house and i will buy it
yo vere el libro y lo leere	i will see the book and i will read it
yo vere la puerta y la abrire	i will see the door and i will open it
yo vere la ventana y la cerrare	i will see the window and i will close it
yo vere la carretera y la seguire	i will see the road and i will follow it
yo vere el arbol y lo subire	i will see the tree and i will climb it
yo vere el pajaro y lo observare	i will see the bird and i will watch it
tu veras el gato y te gustara	you will see the cat and you will like it
tu veras el perro y te gustara	you will see the dog and you will like it
tu veras el coche y lo usaras	you will see the car and you will use it
tu veras la casa y la compraras	you will see the house and you will buy it
tu veras el libro y lo leeras	you will see the book and you will read it
tu veras la puerta y la abras	you will see the door and you will open it
tu veras la ventana y la cerraras	you will see the window and you will close it
tu veras la carretera y la seguiras	you will see the road and you will follow it
tu veras el arbol y lo subiras	you will see the tree and you will climb it
tu veras el pajaro y lo observaras	you will see the bird and you will watch it
yo voy a la casa	i go to the house
yo voy a la ciudad	i go to the city
yo voy a la carretera	i go to the road
yo voy al parque	i go to the park
yo voy a la escuela	i go to the school
yo voy a la oficina	i go to the office
yo voy a la tienda	i go to the store
yo voy al coche	i go to the car
yo voy a la puerta	i go to the door
yo voy a la ventana	i go to the window
tu vas a la casa	you go to the house
tu vas a la ciudad	you go to the city
tu vas a la carretera	you go to the road
tu vas al parque	you go to the park
tu vas a la escuela	you go to the school
tu vas a la oficina	you go to the office
tu vas a la tienda	you go to the store
tu vas al coche	you go to the car
tu vas a la puerta	you go to the door
tu vas a la ventana	you go to the window
el va a la casa	he goes to the house
el va a la ciudad	he goes to the city
el va a la carretera	he goes to the road
el va al parque	he goes to the park
